170,187,117
98,114,52
123,136,90
178,189,155
204,213,192
164,173,156
171,178,160
231,239,215
190,197,164
89,99,47
140,153,74
151,166,85
158,169,113
206,217,174
217,229,191
195,209,174
203,218,189
215,230,207
223,234,220
219,230,216
195,202,194
144,152,139
142,152,127
195,206,172
222,233,193
191,202,160
158,169,129
194,204,167
194,204,170
151,161,126
184,192,153
207,216,173
203,211,172
215,223,182
197,206,163
147,156,113
175,182,148
214,219,196
214,216,211
215,217,214
222,227,207
227,234,200
213,225,179
185,197,151
192,199,165
219,225,199
231,235,221
225,227,222
142,159,91
88,104,41
137,151,100
141,153,113
182,193,163
144,154,129
169,177,153
228,237,208
191,199,160
118,129,71
139,153,68
144,158,73
158,169,109
191,203,157
207,220,177
178,193,154
192,207,174
215,231,204
221,234,217
216,228,214
220,231,214
221,232,215
180,188,175
126,135,118
140,151,121
204,216,178
219,230,188
168,179,136
157,168,126
196,207,167
183,193,158
144,154,119
180,188,147
208,217,174
200,208,167
209,218,175
187,196,151
135,144,101
171,179,142
206,211,188
216,219,212
202,204,199
213,218,196
225,232,198
205,216,173
176,187,145
184,191,158
219,224,202
229,232,221
218,220,217
146,165,99
120,139,75
182,201,137
130,148,90
162,175,129
150,162,122
185,195,158
216,226,174
174,187,117
156,172,74
154,170,72
167,179,113
187,199,149
192,206,157
167,183,138
190,207,165
219,235,199
221,235,210
222,234,210
220,232,208
164,176,152
116,129,101
156,168,130
226,239,193
213,226,180
146,159,113
179,190,147
202,213,171
167,178,138
163,174,134
199,207,166
216,225,182
215,224,179
192,201,156
158,167,120
147,156,113
180,188,151
208,214,188
220,223,212
222,224,221
212,214,211
198,201,190
212,217,194
224,231,198
202,210,173
175,182,148
190,196,170
222,226,211
227,230,223
228,230,227
155,172,117
141,159,99
196,216,147
134,154,83
131,147,84
158,173,118
189,201,153
222,234,184
219,231,169
166,181,98
145,163,51
157,175,65
163,177,98
173,184,124
179,192,138
167,181,130
190,206,157
218,235,190
221,237,198
216,232,196
215,228,198
205,218,188
154,167,137
115,129,93
164,177,133
225,239,188
191,205,154
127,141,92
192,203,160
185,196,154
145,156,114
187,198,156
212,221,178
217,226,181
163,173,121
124,134,84
181,190,145
189,197,158
207,214,183
220,224,207
229,232,223
233,235,232
230,232,227
215,218,207
207,212,192
216,222,194
219,226,193
198,205,172
182,188,160
207,212,192
224,227,216
228,230,227
231,233,230
234,237,228
229,232,225
228,230,225
158,173,134
144,160,111
199,219,148
149,170,91
110,131,52
154,171,101
186,199,145
201,214,158
191,204,132
140,155,60
131,151,26
150,171,44
151,168,72
157,171,96
174,188,126
161,176,119
180,197,142
206,223,169
204,222,172
202,219,175
204,220,184
181,196,163
147,163,126
123,140,98
175,191,142
209,226,172
165,179,130
125,138,92
199,212,169
168,180,140
138,149,106
201,213,167
197,207,157
213,223,170
150,161,103
122,132,80
205,214,169
194,202,161
202,209,176
211,216,193
220,224,210
232,235,228
225,228,219
216,221,201
218,224,196
212,219,186
205,212,179
193,199,171
196,201,179
219,223,208
225,228,219
223,226,219
230,234,219
229,233,218
223,229,219
157,171,138
152,168,123
168,190,107
108,131,41
144,167,79
187,202,133
183,199,128
168,182,95
148,165,61
134,154,33
151,170,52
136,153,59
145,159,84
172,186,125
165,180,123
174,189,130
184,202,142
177,197,136
189,207,155
205,221,182
164,180,143
140,157,113
149,167,115
198,215,160
194,212,154
131,145,94
136,149,105
207,219,181
160,172,134
134,145,102
197,209,159
173,184,128
213,225,163
208,221,152
157,169,103
155,166,110
203,213,163
199,208,165
198,206,167
183,190,159
192,197,175
221,224,215
223,226,215
219,225,197
218,226,189
194,202,165
182,189,156
196,201,178
214,219,199
222,226,211
230,233,222
221,224,217
235,239,222
231,236,213
230,235,212
231,239,216
211,218,200
218,224,214
230,235,229
157,171,136
157,173,128
175,197,114
115,139,41
142,167,65
179,198,106
166,186,91
163,181,73
183,201,93
150,166,68
141,155,70
142,155,86
143,154,96
156,168,118
163,177,124
174,189,130
173,192,126
155,174,108
172,190,130
203,221,173
154,171,126
128,147,91
169,189,126
216,237,170
173,194,129
105,122,68
157,173,128
197,209,173
158,170,134
151,162,120
184,197,144
159,174,109
204,220,145
178,195,115
164,180,105
181,192,132
185,195,143
201,211,161
185,194,149
148,156,115
164,170,142
209,212,201
221,225,211
215,222,188
203,212,169
174,182,141
167,174,140
199,204,181
218,223,203
223,228,208
236,239,230
224,227,220
228,233,213
230,236,208
231,238,205
219,226,193
194,200,174
218,222,207
233,239,229
231,238,231
164,178,142
151,167,120
210,229,165
168,190,107
114,139,35
137,161,49
152,174,65
143,163,50
161,181,60
198,215,109
159,173,124
180,196,134
181,201,130
151,171,99
154,174,105
195,214,158
154,173,118
121,142,75
173,195,120
212,235,157
146,168,96
97,115,57
176,192,145
162,174,138
149,160,126
177,188,148
167,180,127
158,174,103
194,212,128
167,186,97
168,186,104
191,203,139
175,186,130
200,211,155
167,177,124
132,142,92
155,163,126
206,210,195
221,225,208
208,216,177
190,200,150
168,177,134
171,179,142
196,202,176
208,213,191
