R,G,B,d
219,231,221,1
217,228,220,1
215,216,220,1
221,222,224,1
212,213,217,1
205,206,211,1
220,220,228,1
227,227,237,1
226,227,232,1
220,221,226,1
225,224,238,1
223,222,238,1
214,216,229,1
222,224,236,1
228,232,241,1
226,231,237,1
223,228,232,1
222,227,230,1
217,225,227,1
214,223,222,1
214,223,220,1
216,225,222,1
215,225,224,1
213,223,224,1
212,222,224,1
212,221,228,1
211,220,229,1
210,218,229,1
209,217,230,1
210,218,231,1
212,220,233,1
213,221,232,1
212,221,230,1
212,221,228,1
212,221,228,1
212,221,228,1
212,221,226,1
212,221,226,1
212,221,226,1
212,221,226,1
212,221,226,1
212,221,226,1
213,222,227,1
215,224,229,1
215,225,227,1
215,225,227,1
216,226,228,1
217,227,229,1
219,224,228,1
218,223,227,1
218,223,227,1
217,222,226,1
218,221,226,1
218,221,226,1
219,222,227,1
219,222,227,1
220,223,228,1
220,223,228,1
220,223,228,1
222,225,230,1
222,225,230,1
222,225,230,1
222,225,230,1
222,225,230,1
222,225,230,1
222,225,230,1
222,225,230,1
222,225,230,1
223,226,231,1
223,226,231,1
224,227,232,1
224,227,232,1
224,227,232,1
224,227,232,1
224,227,232,1
224,227,232,1
224,227,232,1
224,227,232,1
223,226,231,1
223,226,231,1
223,226,231,1
223,226,231,1
223,226,231,1
223,226,231,1
223,226,231,1
223,226,231,1
223,226,233,1
223,226,233,1
221,224,233,1
221,224,233,1
221,224,233,1
220,223,232,1
219,221,233,1
218,220,232,1
218,220,232,1
217,219,231,1
216,220,229,1
214,218,227,1
214,217,226,1
214,217,226,1
214,217,226,1
214,217,226,1
214,217,226,1
214,217,226,1
213,216,225,1
213,216,225,1
212,216,227,1
212,216,227,1
211,218,228,1
211,218,228,1
210,218,229,1
210,218,229,1
210,219,228,1
210,219,228,1
210,219,228,1
210,219,228,1
210,219,228,1
211,220,229,1
211,220,229,1
211,220,229,1
211,220,229,1
211,220,229,1
211,220,229,1
211,220,229,1
212,219,229,1
212,219,229,1
212,219,229,1
212,219,229,1
212,218,230,1
212,218,230,1
213,219,231,1
213,219,231,1
213,219,231,1
214,220,232,1
214,220,232,1
214,220,232,1
210,216,228,1
209,215,227,1
208,214,226,1
208,214,226,1
207,213,225,1
206,212,224,1
206,212,224,1
207,213,225,1
207,214,224,1
206,213,223,1
206,213,223,1
206,213,223,1
204,213,222,1
204,213,222,1
204,213,222,1
204,213,222,1
203,212,221,1
203,212,221,1
203,212,221,1
203,212,221,1
204,213,222,1
204,213,222,1
203,212,221,1
203,212,221,1
203,212,221,1
203,212,221,1
202,210,221,1
202,210,221,1
202,210,221,1
202,210,221,1
201,211,223,1
201,211,223,1
201,211,223,1
202,212,224,1
202,212,224,1
202,212,224,1
200,212,224,1
202,214,226,1
201,213,225,1
198,210,222,1
199,209,221,1
198,208,220,1
198,208,220,1
197,207,219,1
194,206,218,1
193,205,217,1
192,204,216,1
192,204,216,1
190,204,217,1
189,203,216,1
187,201,214,1
186,200,213,1
186,200,213,1
186,200,213,1
184,200,213,1
183,199,212,1
185,197,209,1
186,198,210,1
186,200,213,1
188,202,215,1
188,202,215,1
188,202,215,1
187,201,214,1
187,201,214,1
185,201,214,1
184,200,213,1
183,199,212,1
184,200,213,1
188,204,217,1
190,206,219,1
189,207,219,1
187,205,217,1
189,205,218,1
189,205,218,1
189,205,218,1
188,204,217,1
187,205,217,1
187,205,217,1
188,206,218,1
188,206,218,1
189,205,218,1
189,205,218,1
189,205,218,1
189,205,218,1
189,205,218,1
189,205,218,1
189,205,218,1
191,205,218,1
192,204,218,1
194,203,218,1
194,203,218,1
192,201,216,1
189,201,215,1
189,201,215,1
189,201,215,1
189,201,215,1
188,202,215,1
191,205,218,1
192,206,219,1
192,206,219,1
188,204,217,1
186,202,215,1
184,200,213,1
182,198,211,1
182,196,209,1
182,196,209,1
179,195,211,1
177,194,210,1
176,193,213,1
174,192,212,1
171,189,209,1
169,187,207,1
170,187,207,1
169,186,206,1
165,182,202,1
166,183,203,1
168,185,205,1
169,186,206,1
170,187,207,1
168,185,205,1
168,186,206,1
168,186,206,1
168,186,206,1
168,186,206,1
168,186,208,1
167,185,207,1
166,184,206,1
165,183,205,1
165,183,207,1
164,182,206,1
161,181,205,1
161,181,205,1
160,180,204,1
159,179,203,1
159,179,203,1
159,179,203,1
157,179,200,1
156,181,201,1
157,181,205,1
158,184,207,1
158,186,208,1
160,188,209,1
162,190,211,1
165,192,211,1
165,190,210,1
168,189,210,1
170,186,209,1
171,183,205,1
180,187,205,1
217,223,239,1
214,215,217,1
216,217,219,1
215,216,218,1
205,206,210,1
224,224,232,1
229,229,239,1
230,231,235,1
222,223,227,1
224,224,234,1
224,224,236,1
216,218,230,1
223,226,235,1
228,233,239,1
225,230,234,1
222,227,231,1
221,226,229,1
216,224,226,1
213,222,221,1
213,222,221,1
215,224,223,1
214,224,223,1
212,222,223,1
211,221,223,1
211,220,227,1
210,219,228,1
208,216,227,1
208,216,227,1
208,216,229,1
210,218,231,1
211,219,230,1
210,219,228,1
210,219,226,1
210,219,226,1
210,219,226,1
210,219,224,1
210,219,224,1
210,219,224,1
210,219,224,1
211,220,225,1
211,220,225,1
212,221,226,1
213,222,227,1
214,224,226,1
214,224,226,1
214,224,226,1
215,225,227,1
218,223,227,1
217,222,226,1
217,222,226,1
216,221,225,1
217,220,225,1
218,221,226,1
218,221,226,1
218,221,226,1
219,222,227,1
219,222,227,1
220,223,228,1
221,224,229,1
221,224,229,1
221,224,229,1
221,224,229,1
221,224,229,1
221,224,229,1
221,224,229,1
221,224,229,1
221,224,229,1
222,225,230,1
222,225,230,1
223,226,231,1
223,226,231,1
223,226,231,1
222,225,230,1
222,225,230,1
222,225,230,1
223,226,231,1
222,225,230,1
222,225,230,1
221,224,229,1
222,225,230,1
222,225,230,1
222,225,230,1
222,225,230,1
222,225,230,1
222,225,230,1
222,225,232,1
222,225,232,1
220,223,232,1
220,223,232,1
220,223,232,1
219,222,231,1
218,220,232,1
218,220,232,1
217,219,231,1
216,218,230,1
215,219,228,1
214,218,227,1
214,217,226,1
213,216,225,1
213,216,225,1
213,216,225,1
213,216,225,1
213,216,225,1
212,215,224,1
212,215,224,1
210,214,225,1
211,215,226,1
209,216,226,1
210,217,227,1
209,217,228,1
208,216,227,1
209,218,227,1
209,218,227,1
209,218,227,1
209,218,227,1
209,218,227,1
209,218,227,1
209,218,227,1
209,218,227,1
209,218,227,1
209,218,227,1
209,218,227,1
209,218,227,1
210,217,227,1
210,217,227,1
210,217,227,1
210,217,227,1
210,216,228,1
211,217,229,1
211,217,229,1
211,217,229,1
212,218,230,1
213,219,231,1
213,219,231,1
212,218,230,1
208,214,226,1
207,213,225,1
206,212,224,1
206,212,224,1
205,211,223,1
204,210,222,1
204,210,222,1
205,211,223,1
203,210,220,1
203,210,220,1
203,210,220,1
202,209,219,1
201,210,219,1
201,210,219,1
201,210,219,1
200,209,218,1
200,209,218,1
200,209,218,1
200,209,218,1
200,209,218,1
200,209,218,1
200,209,218,1
200,209,218,1
200,209,218,1
199,208,217,1
199,208,217,1
199,207,218,1
198,206,217,1
198,206,217,1
198,206,217,1
198,208,220,1
198,208,220,1
197,207,219,1
198,208,220,1
198,208,220,1
198,208,220,1
196,208,220,1
198,210,222,1
197,209,221,1
195,207,219,1
195,205,217,1
195,205,217,1
194,204,216,1
193,203,215,1
190,202,214,1
