R,G,B,d
170,187,117,3
98,114,52,3
123,136,90,3
178,189,155,3
204,213,192,3
164,173,156,3
171,178,160,3
231,239,215,3
190,197,164,3
89,99,47,3
140,153,74,3
151,166,85,3
158,169,113,3
206,217,174,3
217,229,191,3
195,209,174,3
203,218,189,3
215,230,207,3
223,234,220,3
219,230,216,3
195,202,194,3
144,152,139,3
142,152,127,3
195,206,172,3
222,233,193,3
191,202,160,3
158,169,129,3
194,204,167,3
194,204,170,3
151,161,126,3
184,192,153,3
207,216,173,3
203,211,172,3
215,223,182,3
197,206,163,3
147,156,113,3
175,182,148,3
214,219,196,3
214,216,211,3
215,217,214,3
222,227,207,3
227,234,200,3
213,225,179,3
185,197,151,3
192,199,165,3
219,225,199,3
231,235,221,3
225,227,222,3
142,159,91,3
88,104,41,3
137,151,100,3
141,153,113,3
182,193,163,3
144,154,129,3
169,177,153,3
228,237,208,3
191,199,160,3
118,129,71,3
139,153,68,3
144,158,73,3
158,169,109,3
191,203,157,3
207,220,177,3
178,193,154,3
192,207,174,3
215,231,204,3
221,234,217,3
216,228,214,3
220,231,214,3
221,232,215,3
180,188,175,3
126,135,118,3
140,151,121,3
204,216,178,3
219,230,188,3
168,179,136,3
157,168,126,3
196,207,167,3
183,193,158,3
144,154,119,3
180,188,147,3
208,217,174,3
200,208,167,3
209,218,175,3
187,196,151,3
135,144,101,3
171,179,142,3
206,211,188,3
216,219,212,3
202,204,199,3
213,218,196,3
225,232,198,3
205,216,173,3
176,187,145,3
184,191,158,3
219,224,202,3
229,232,221,3
218,220,217,3
146,165,99,3
120,139,75,3
182,201,137,3
130,148,90,3
162,175,129,3
150,162,122,3
185,195,158,3
216,226,174,3
174,187,117,3
156,172,74,3
154,170,72,3
167,179,113,3
187,199,149,3
192,206,157,3
167,183,138,3
190,207,165,3
219,235,199,3
221,235,210,3
222,234,210,3
220,232,208,3
164,176,152,3
116,129,101,3
156,168,130,3
226,239,193,3
213,226,180,3
146,159,113,3
179,190,147,3
202,213,171,3
167,178,138,3
163,174,134,3
199,207,166,3
216,225,182,3
215,224,179,3
192,201,156,3
158,167,120,3
147,156,113,3
180,188,151,3
208,214,188,3
220,223,212,3
222,224,221,3
212,214,211,3
198,201,190,3
212,217,194,3
224,231,198,3
202,210,173,3
175,182,148,3
190,196,170,3
222,226,211,3
227,230,223,3
228,230,227,3
155,172,117,3
141,159,99,3
196,216,147,3
134,154,83,3
131,147,84,3
158,173,118,3
189,201,153,3
222,234,184,3
219,231,169,3
166,181,98,3
145,163,51,3
157,175,65,3
163,177,98,3
173,184,124,3
179,192,138,3
167,181,130,3
190,206,157,3
218,235,190,3
221,237,198,3
216,232,196,3
215,228,198,3
205,218,188,3
154,167,137,3
115,129,93,3
164,177,133,3
225,239,188,3
191,205,154,3
127,141,92,3
192,203,160,3
185,196,154,3
145,156,114,3
187,198,156,3
212,221,178,3
217,226,181,3
163,173,121,3
124,134,84,3
181,190,145,3
189,197,158,3
207,214,183,3
220,224,207,3
229,232,223,3
233,235,232,3
230,232,227,3
215,218,207,3
207,212,192,3
216,222,194,3
219,226,193,3
198,205,172,3
182,188,160,3
207,212,192,3
224,227,216,3
228,230,227,3
231,233,230,3
234,237,228,3
229,232,225,3
228,230,225,3
158,173,134,3
144,160,111,3
199,219,148,3
149,170,91,3
110,131,52,3
154,171,101,3
186,199,145,3
201,214,158,3
191,204,132,3
140,155,60,3
131,151,26,3
150,171,44,3
151,168,72,3
157,171,96,3
174,188,126,3
161,176,119,3
180,197,142,3
206,223,169,3
204,222,172,3
202,219,175,3
204,220,184,3
181,196,163,3
147,163,126,3
123,140,98,3
175,191,142,3
209,226,172,3
165,179,130,3
125,138,92,3
199,212,169,3
168,180,140,3
138,149,106,3
201,213,167,3
197,207,157,3
213,223,170,3
150,161,103,3
122,132,80,3
205,214,169,3
194,202,161,3
202,209,176,3
211,216,193,3
220,224,210,3
232,235,228,3
225,228,219,3
216,221,201,3
218,224,196,3
212,219,186,3
205,212,179,3
193,199,171,3
196,201,179,3
219,223,208,3
225,228,219,3
223,226,219,3
230,234,219,3
229,233,218,3
223,229,219,3
157,171,138,3
152,168,123,3
168,190,107,3
108,131,41,3
144,167,79,3
187,202,133,3
183,199,128,3
168,182,95,3
148,165,61,3
134,154,33,3
151,170,52,3
136,153,59,3
145,159,84,3
172,186,125,3
165,180,123,3
174,189,130,3
184,202,142,3
177,197,136,3
189,207,155,3
205,221,182,3
164,180,143,3
140,157,113,3
149,167,115,3
198,215,160,3
194,212,154,3
131,145,94,3
136,149,105,3
207,219,181,3
160,172,134,3
134,145,102,3
197,209,159,3
173,184,128,3
213,225,163,3
208,221,152,3
157,169,103,3
155,166,110,3
203,213,163,3
199,208,165,3
198,206,167,3
183,190,159,3
192,197,175,3
221,224,215,3
223,226,215,3
219,225,197,3
218,226,189,3
194,202,165,3
